opt_level	iter	fob_c	fob_s	fap_c	fap_s	x_c	x_s	delta	pho	nfev-hf
2	1	-1.79428	-1.78900	-1.79510	-1.79938	[0.96333 1.      0.91161 0.18647 0.39898 0.1    ]	[1.      1.      0.99823 0.13867 0.33186 0.19   ]	0.20000	-1.23221	15
2	2	-1.79428	-1.79044	-1.78572	-1.80497	[0.96333 1.      0.91161 0.18647 0.39898 0.1    ]	[0.91333 1.      0.86161 0.23147 0.37042 0.11013]	0.10000	-0.19953	30
2	3	-1.79428	-1.79339	-1.78781	-1.81320	[0.96333 1.      0.91161 0.18647 0.39898 0.1    ]	[0.93833 1.      0.88661 0.20897 0.37398 0.1225 ]	0.05000	-0.03484	45
2	4	-1.79428	-1.79402	-1.78503	-1.80410	[0.96333 1.      0.91161 0.18647 0.39898 0.1    ]	[0.95083 1.      0.92411 0.17522 0.38648 0.11125]	0.02500	-0.01333	60
2	5	-1.79428	-1.79420	-1.79370	-1.80756	[0.96333 1.      0.91161 0.18647 0.39898 0.1    ]	[0.95708 0.99438 0.9129  0.18084 0.40523 0.1    ]	0.01250	-0.00543	75
2	6	-1.79428	-1.79416	-1.79486	-1.79805	[0.96333 1.      0.91161 0.18647 0.39898 0.1    ]	[0.96021 1.      0.91474 0.18366 0.4021  0.1    ]	0.00625	-0.03612	90
3	1	-1.82535	-1.82758	-1.82393	-1.82751	[0.96333 1.      0.91161 0.18647 0.39898 0.1    ]	[1.      1.      0.89643 0.1     0.41527 0.1    ]	0.20000	0.62255	15
3	2	-1.82758	-1.82427	-1.82733	-1.82967	[1.      1.      0.89643 0.1     0.41527 0.1    ]	[0.9     1.      0.99643 0.1     0.51527 0.1    ]	0.20000	-1.41021	30
3	3	-1.82758	-1.82758	-1.82760	-1.82815	[1.      1.      0.89643 0.1     0.41527 0.1    ]	[1.      1.      0.94643 0.1     0.38286 0.1    ]	0.10000	0.00435	45
3	4	-1.82758	-1.82758	-1.82742	-1.82764	[1.      1.      0.94643 0.1     0.38286 0.1    ]	[0.99171 1.      0.93409 0.1     0.39301 0.1    ]	0.05000	-0.00000	60
3	5	-1.82758	-1.82758	-1.82722	-1.82800	[1.      1.      0.94643 0.1     0.38286 0.1    ]	[0.9875  1.      0.95893 0.1     0.38445 0.1    ]	0.02500	-0.00613	75
